model,seed,digits,freerun_EM,freerun_PD,parseable_pct,TF_EM_sameckpt,TF_PD_sameckpt,drop_EM,drop_PD
Rule30,0,5,0.00,25.69,100.0,88.25,97.90,88.25,72.20
Rule30,0,6,0.00,15.61,100.0,2.50,66.69,2.50,51.08
Rule30,0,7,0.00,14.06,99.8,0.00,42.54,0.00,28.48
Rule30,1,5,0.00,21.49,97.0,93.25,98.79,93.25,77.31
Rule30,1,6,0.00,14.36,92.8,8.50,74.65,8.50,60.29
Rule30,1,7,0.00,9.85,95.8,0.00,44.02,0.00,34.18
Rule30,2,5,0.25,24.75,98.2,73.50,94.99,73.25,70.23
Rule30,2,6,0.00,19.14,99.2,10.25,79.01,10.25,59.87
Rule30,2,7,0.00,15.28,99.8,0.50,57.92,0.50,42.64
Rule30,3,5,0.00,23.55,97.0,92.00,98.57,92.00,75.02
Rule30,3,6,0.00,17.58,99.0,6.75,76.39,6.75,58.81
Rule30,3,7,0.00,10.64,98.8,0.00,38.89,0.00,28.25
Rule30,4,5,0.00,24.26,98.5,78.75,96.20,78.75,71.93
Rule30,4,6,0.00,19.48,98.0,0.00,49.45,0.00,29.97
Rule30,4,7,0.00,10.27,97.5,0.00,30.49,0.00,20.22
Rollout,0,5,0.00,21.58,98.5,82.50,96.87,82.50,75.29
Rollout,0,6,0.00,15.92,97.5,1.50,67.83,1.50,51.91
Rollout,0,7,0.00,10.67,99.0,0.00,42.94,0.00,32.27
Rollout,1,5,0.00,23.72,100.0,79.75,96.33,79.75,72.61
Rollout,1,6,0.00,20.84,100.0,1.75,65.71,1.75,44.87
Rollout,1,7,0.00,15.81,100.0,0.00,42.21,0.00,26.41
Rollout,2,5,4.50,30.98,100.0,95.50,99.19,91.00,68.22
Rollout,2,6,0.00,36.49,100.0,3.50,68.74,3.50,32.25
Rollout,2,7,0.00,19.72,100.0,0.00,46.56,0.00,26.84
Rollout,3,5,0.00,23.81,100.0,71.00,94.81,71.00,70.99
Rollout,3,6,0.00,20.05,100.0,0.25,57.71,0.25,37.67
Rollout,3,7,0.00,15.01,100.0,0.00,39.45,0.00,24.43
Rollout,4,5,0.00,25.69,98.5,89.00,98.03,89.00,72.34
Rollout,4,6,0.00,21.03,98.0,0.75,64.00,0.75,42.97
Rollout,4,7,0.00,13.40,96.5,0.00,47.55,0.00,34.15
Carry,0,5,0.00,23.32,100.0,95.00,99.10,95.00,75.78
Carry,0,6,0.00,15.16,100.0,10.50,73.93,10.50,58.77
Carry,0,7,0.00,10.87,100.0,0.00,43.92,0.00,33.06
Carry,1,5,0.00,21.98,100.0,90.75,98.34,90.75,76.37
Carry,1,6,0.00,18.08,100.0,1.50,66.58,1.50,48.50
Carry,1,7,0.00,10.73,100.0,0.00,42.05,0.00,31.31
Carry,2,5,0.00,24.71,100.0,83.25,97.00,83.25,72.29
Carry,2,6,0.00,21.26,100.0,0.75,59.15,0.75,37.89
Carry,2,7,0.00,15.08,100.0,0.00,36.71,0.00,21.63
Carry,3,5,0.00,25.43,99.5,67.25,93.91,67.25,68.49
Carry,3,6,0.00,20.73,99.8,0.75,66.73,0.75,46.00
Carry,3,7,0.00,13.47,99.5,0.00,51.40,0.00,37.93
Carry,4,5,0.00,21.84,98.2,52.50,91.05,52.50,69.20
Carry,4,6,0.00,17.13,99.0,0.00,60.33,0.00,43.20
Carry,4,7,0.00,12.22,99.5,0.00,43.92,0.00,31.71
Baseline,0,5,0.00,26.72,99.2,74.75,95.21,74.75,68.49
Baseline,0,6,0.00,26.53,99.5,0.00,50.25,0.00,23.72
Baseline,0,7,0.00,20.68,99.2,0.00,42.15,0.00,21.47
Baseline,1,5,0.00,25.69,100.0,88.50,97.90,88.50,72.20
Baseline,1,6,0.00,23.34,100.0,1.00,60.97,1.00,37.63
Baseline,1,7,0.00,19.10,99.8,0.00,44.42,0.00,25.32
Baseline,2,5,0.00,25.74,100.0,44.00,88.14,44.00,62.40
Baseline,2,6,0.00,24.06,100.0,0.00,48.77,0.00,24.71
Baseline,2,7,0.00,17.32,100.0,0.00,42.38,0.00,25.06
Baseline,3,5,0.00,26.99,99.8,88.25,97.85,88.25,70.86
Baseline,3,6,0.00,22.58,98.5,1.75,60.25,1.75,37.67
Baseline,3,7,0.00,19.79,97.5,0.00,42.02,0.00,22.23
Baseline,4,5,0.00,28.16,95.0,94.25,98.97,94.25,70.81
Baseline,4,6,0.00,19.14,96.8,1.25,63.55,1.25,44.41
Baseline,4,7,0.00,11.00,96.5,0.00,41.52,0.00,30.52
