=== EM ===
model,5_free_mean,5_free_std,5_TF_mean,5_drop_mean,6_free_mean,6_free_std,6_TF_mean,6_drop_mean,7_free_mean,7_free_std,7_TF_mean,7_drop_mean
Rule30,0.05,0.10,85.15,85.10,0.00,0.00,5.60,5.60,0.00,0.00,0.10,0.10
Rollout,0.90,1.80,83.55,82.65,0.00,0.00,1.55,1.55,0.00,0.00,0.00,0.00
Carry,0.00,0.00,77.75,77.75,0.00,0.00,2.70,2.70,0.00,0.00,0.00,0.00
Baseline,0.00,0.00,77.95,77.95,0.00,0.00,0.80,0.80,0.00,0.00,0.00,0.00
""
=== PD ===
model,5_free_mean,5_free_std,5_TF_mean,5_drop_mean,6_free_mean,6_free_std,6_TF_mean,6_drop_mean,7_free_mean,7_free_std,7_TF_mean,7_drop_mean
Rule30,23.95,1.42,97.29,73.34,17.23,1.98,69.24,52.00,12.02,2.21,42.77,30.75
Rollout,25.16,3.19,97.05,71.89,22.86,7.06,64.80,41.93,14.92,2.97,43.74,28.82
Carry,23.46,1.43,95.88,72.43,18.47,2.27,65.34,46.87,12.47,1.64,43.60,31.13
Baseline,26.66,0.91,95.61,68.95,23.13,2.40,56.76,33.63,17.58,3.47,42.50,24.92
