epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5778,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.8079,0.05,25.34,0.00,23.90,0.00,22.12,0.00,20.17
11,0.7134,0.20,33.77,0.00,31.81,0.00,28.05,0.00,25.48
16,0.6339,0.50,39.31,0.00,35.45,0.00,31.72,0.00,29.14
21,0.4313,6.75,61.76,0.93,52.31,0.07,45.25,0.00,40.29
26,0.2099,78.35,95.02,24.40,82.16,1.70,66.86,0.17,55.92
31,0.1070,99.45,99.88,61.13,92.44,1.53,65.54,0.03,50.48
36,0.0617,99.85,99.96,69.97,94.44,1.57,64.98,0.00,47.85
41,0.0400,99.75,99.93,83.40,97.01,4.63,71.32,0.00,49.80
46,0.0285,99.75,99.94,86.03,97.47,5.07,71.26,0.00,47.73
51,0.0215,100.00,100.00,79.23,96.20,1.13,63.14,0.00,43.53
56,0.0169,99.95,99.99,81.47,96.65,1.33,64.26,0.00,44.67
61,0.0138,100.00,100.00,82.33,96.80,1.27,62.93,0.00,42.28
66,0.0123,100.00,100.00,84.07,97.12,3.17,68.85,0.00,43.92
71,0.0099,99.95,99.99,88.57,97.95,2.63,67.07,0.00,44.34
76,0.0085,99.95,99.99,85.70,97.45,3.00,69.95,0.00,44.35
81,0.0068,99.95,99.99,84.77,97.28,3.97,70.90,0.00,44.27
86,0.0060,99.95,99.99,95.87,99.26,17.83,80.18,0.00,47.68
91,0.0052,99.95,99.99,92.40,98.65,8.13,74.62,0.00,44.53
96,0.0049,100.00,100.00,94.00,98.93,10.87,75.72,0.03,45.22
101,0.0040,100.00,100.00,87.47,97.77,4.60,69.74,0.00,43.72
106,0.0040,100.00,100.00,80.13,96.41,1.73,65.09,0.00,42.91
111,0.0032,100.00,100.00,93.70,98.88,11.83,78.49,0.03,46.41
116,0.0030,100.00,100.00,91.63,98.49,4.43,68.13,0.00,43.80
121,0.0028,100.00,100.00,83.53,97.05,5.23,71.63,0.07,45.33
126,0.0035,100.00,100.00,93.83,98.90,14.90,80.69,0.07,51.08
131,0.0023,100.00,100.00,87.50,97.77,3.30,71.18,0.00,43.62
136,0.0022,100.00,100.00,85.80,97.46,2.73,68.04,0.00,40.86
141,0.0020,100.00,100.00,84.63,97.25,3.13,69.17,0.00,43.14
146,0.0023,100.00,100.00,82.93,96.87,2.57,64.06,0.00,42.07
151,0.0020,100.00,100.00,89.97,98.20,6.10,71.16,0.00,43.87
156,0.0018,100.00,100.00,97.23,99.51,18.60,79.22,0.00,46.10
161,0.0016,100.00,100.00,92.87,98.73,10.33,77.35,0.00,44.72
166,0.0022,100.00,100.00,89.93,98.20,6.67,72.37,0.00,44.09
171,0.0019,100.00,100.00,61.97,92.69,0.17,55.18,0.00,40.67
176,0.0018,100.00,100.00,90.53,98.31,2.90,69.84,0.00,42.58
181,0.0015,100.00,100.00,95.07,99.12,11.77,75.19,0.03,43.43
186,0.0016,100.00,100.00,67.70,94.04,1.03,62.20,0.00,40.63
191,0.0117,100.00,100.00,77.40,95.89,2.07,60.25,0.00,40.33
196,0.0012,100.00,100.00,89.57,98.14,4.43,68.94,0.00,43.68
201,0.0011,100.00,100.00,64.57,93.58,0.87,63.16,0.00,40.44
206,0.0013,100.00,100.00,88.80,97.99,5.17,71.68,0.00,43.65
211,0.0014,99.95,99.99,31.50,85.29,0.07,52.72,0.00,39.05
216,0.0011,100.00,100.00,95.47,99.19,16.13,78.32,0.00,44.38
221,0.0013,100.00,100.00,80.80,96.55,2.07,67.25,0.00,41.19
226,0.0009,100.00,100.00,68.80,94.35,1.00,65.19,0.00,43.58
231,0.0014,100.00,100.00,60.33,92.74,0.90,62.95,0.00,41.75
236,0.0014,100.00,100.00,98.17,99.67,20.53,82.05,0.00,46.71
241,0.0009,100.00,100.00,90.80,98.36,4.57,66.00,0.00,42.67
246,0.0009,100.00,100.00,62.90,93.18,0.90,61.44,0.00,41.90
251,0.0011,100.00,100.00,88.80,98.00,5.83,74.63,0.00,46.08
256,0.0009,100.00,100.00,97.47,99.55,17.73,79.04,0.00,45.04
261,0.0011,99.90,99.98,37.47,87.83,0.43,60.07,0.03,40.58
266,0.0108,100.00,100.00,77.17,95.87,1.33,61.16,0.00,41.12
271,0.0008,100.00,100.00,84.57,97.24,1.13,64.68,0.00,42.80
276,0.0006,100.00,100.00,77.97,96.06,0.80,59.91,0.00,42.22
281,0.0006,100.00,100.00,73.43,95.21,0.83,63.08,0.00,42.16
286,0.0008,100.00,100.00,94.20,98.97,6.67,74.90,0.00,44.54
291,0.0007,100.00,100.00,87.17,97.71,2.67,69.08,0.00,44.34
296,0.0007,100.00,100.00,96.97,99.46,11.13,75.92,0.00,43.78
300,0.0008,100.00,100.00,92.57,98.67,7.13,73.80,0.00,44.58
