epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5367,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.7938,0.10,24.84,0.00,25.00,0.00,22.46,0.00,19.37
11,0.6670,0.45,40.91,0.00,35.23,0.00,29.84,0.00,26.62
16,0.4232,17.65,73.31,2.93,62.44,0.30,50.94,0.03,40.01
21,0.1557,99.40,99.87,67.03,93.76,9.03,74.33,0.20,58.20
26,0.0836,99.75,99.94,66.67,93.59,5.10,69.85,0.07,56.15
31,0.0474,100.00,100.00,78.80,96.02,6.47,70.81,0.07,55.66
36,0.0303,99.95,99.99,92.83,98.69,20.73,80.31,0.27,58.02
41,0.0215,100.00,100.00,87.70,97.76,9.27,73.55,0.10,55.91
46,0.0159,100.00,100.00,90.90,98.36,16.30,78.23,0.17,56.89
51,0.0126,100.00,100.00,96.63,99.39,29.90,84.40,0.30,59.22
56,0.0101,100.00,100.00,77.27,95.81,1.77,64.17,0.00,49.95
61,0.0086,100.00,100.00,85.50,97.37,9.33,73.20,0.07,52.22
66,0.0067,100.00,100.00,88.57,97.94,9.23,74.06,0.00,52.04
71,0.0059,100.00,100.00,96.93,99.45,27.40,83.98,0.07,56.67
76,0.0053,100.00,100.00,92.33,98.62,18.10,79.56,0.07,52.09
81,0.0050,100.00,100.00,83.20,96.95,3.73,67.60,0.00,49.12
86,0.0047,100.00,100.00,94.40,99.00,25.00,83.16,0.00,53.00
91,0.0037,100.00,100.00,87.93,97.82,10.27,71.42,0.00,47.77
96,0.0033,100.00,100.00,92.53,98.67,15.70,78.05,0.00,50.72
101,0.0030,100.00,100.00,83.57,97.05,2.87,64.22,0.00,43.71
106,0.0032,100.00,100.00,90.87,98.37,10.43,74.09,0.00,45.20
111,0.0027,100.00,100.00,95.83,99.26,23.60,81.39,0.03,50.28
116,0.0025,100.00,100.00,97.27,99.51,24.07,82.72,0.07,49.80
121,0.0026,56.95,88.35,97.50,99.55,91.07,98.64,21.17,81.43
126,0.0020,100.00,100.00,88.33,97.91,5.30,70.39,0.00,44.77
131,0.0028,100.00,100.00,92.70,98.70,16.30,78.29,0.03,47.64
136,0.0018,100.00,100.00,88.40,97.92,6.23,67.01,0.00,43.01
141,0.0015,100.00,100.00,84.77,97.26,2.63,65.09,0.00,43.26
146,0.0016,100.00,100.00,89.83,98.18,7.00,69.92,0.00,45.22
151,0.0017,100.00,100.00,94.47,99.01,13.13,72.97,0.00,43.69
156,0.0015,100.00,100.00,97.07,99.48,17.53,78.87,0.00,45.40
161,0.0014,100.00,100.00,87.73,97.80,4.13,67.57,0.00,43.69
166,0.0010,100.00,100.00,92.07,98.57,10.60,74.91,0.00,44.89
171,0.0013,100.00,100.00,98.37,99.71,26.50,83.12,0.00,47.22
176,0.0011,100.00,100.00,96.03,99.29,16.90,77.49,0.00,45.47
181,0.0015,100.00,100.00,92.27,98.62,8.17,73.85,0.00,45.41
186,0.0014,100.00,100.00,94.83,99.08,14.57,76.52,0.00,43.38
191,0.0011,100.00,100.00,95.43,99.19,8.60,72.73,0.00,43.91
196,0.0015,100.00,100.00,90.93,98.38,3.37,66.14,0.00,38.55
201,0.0012,100.00,100.00,87.77,97.78,1.07,59.51,0.00,41.15
206,0.0008,100.00,100.00,95.20,99.14,10.00,70.79,0.00,44.65
211,0.0010,100.00,100.00,96.83,99.44,13.30,77.06,0.00,44.83
216,0.0007,100.00,100.00,94.33,98.99,3.13,65.10,0.00,44.35
221,0.0007,100.00,100.00,86.67,97.61,0.87,59.95,0.00,43.42
226,0.0008,100.00,100.00,90.77,98.35,2.27,64.16,0.00,44.35
231,0.0009,100.00,100.00,93.77,98.87,4.00,65.44,0.00,44.29
236,0.0011,100.00,100.00,86.97,97.64,2.13,62.82,0.00,41.94
241,0.0009,100.00,100.00,97.90,99.63,11.27,72.82,0.00,46.23
246,0.0006,100.00,100.00,81.57,96.71,0.87,59.61,0.00,43.01
251,0.0007,100.00,100.00,92.10,98.59,4.20,65.20,0.00,44.87
256,0.0007,100.00,100.00,90.67,98.34,7.63,72.80,0.00,45.69
261,0.0008,100.00,100.00,91.53,98.49,3.70,66.21,0.00,44.74
266,0.0007,100.00,100.00,87.23,97.72,1.40,65.61,0.00,39.84
271,0.0008,100.00,100.00,62.17,92.72,0.23,52.55,0.00,36.25
276,0.0008,100.00,100.00,86.20,97.51,1.67,61.53,0.00,39.37
281,0.0005,100.00,100.00,92.10,98.59,6.40,68.57,0.00,43.27
286,0.0006,100.00,100.00,88.90,98.02,3.60,67.05,0.00,42.01
291,0.0007,100.00,100.00,90.40,98.29,4.97,68.18,0.00,43.26
296,0.0004,100.00,100.00,84.17,97.08,0.33,57.85,0.00,43.16
300,0.0007,100.00,100.00,89.83,98.18,1.97,66.05,0.00,42.04
