epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.0973,0.00,0.08,0.00,0.20,0.00,0.41,0.00,0.61
6,0.6618,0.45,43.75,0.03,37.77,0.00,32.06,0.00,27.98
11,0.1360,98.75,99.72,38.63,86.55,0.20,56.70,0.00,45.81
16,0.0529,99.75,99.94,66.97,93.70,1.90,63.79,0.00,50.00
21,0.0271,99.95,99.99,76.67,95.67,5.17,69.31,0.03,52.71
26,0.0167,100.00,100.00,81.03,96.54,6.20,71.51,0.00,50.83
31,0.0118,100.00,100.00,85.97,97.49,17.30,80.79,0.13,54.53
36,0.0089,100.00,100.00,84.97,97.28,12.60,79.12,0.07,54.99
41,0.0072,100.00,100.00,86.53,97.56,17.70,79.84,0.10,54.73
46,0.0055,99.40,99.87,64.93,93.39,0.60,61.32,0.03,47.46
51,0.0047,100.00,100.00,89.00,98.04,17.00,80.64,0.03,51.96
56,0.0041,100.00,100.00,88.10,97.85,19.40,79.72,0.07,52.94
61,0.0040,100.00,100.00,79.93,96.36,3.93,68.83,0.07,47.75
66,0.0028,100.00,100.00,93.20,98.78,23.47,82.89,0.10,55.63
71,0.0026,100.00,100.00,96.60,99.39,29.23,86.07,0.03,52.27
76,0.0026,100.00,100.00,80.07,96.41,1.70,67.28,0.00,46.29
81,0.0024,100.00,100.00,80.03,96.38,2.97,68.87,0.00,47.32
86,0.0019,100.00,100.00,82.50,96.86,1.70,67.40,0.00,45.61
91,0.0035,100.00,100.00,84.43,97.20,4.63,69.26,0.00,47.38
96,0.0014,100.00,100.00,83.37,97.01,2.23,67.90,0.00,45.28
101,0.0014,100.00,100.00,84.47,97.22,2.67,69.05,0.00,44.78
106,0.0014,100.00,100.00,82.97,96.90,2.83,70.32,0.03,42.31
111,0.0075,99.95,99.99,74.57,95.35,0.57,60.54,0.00,44.29
116,0.0011,100.00,100.00,89.73,98.16,5.87,71.95,0.00,47.32
121,0.0013,100.00,100.00,91.10,98.41,8.43,74.54,0.00,48.26
126,0.0017,100.00,100.00,76.57,95.76,2.37,68.40,0.00,45.56
131,0.0012,100.00,100.00,66.30,93.87,0.97,64.74,0.00,44.52
136,0.0012,100.00,100.00,90.83,98.36,4.53,72.61,0.00,47.36
141,0.0009,100.00,100.00,73.43,95.20,1.30,67.24,0.00,46.70
146,0.0014,100.00,100.00,79.37,96.29,1.07,66.34,0.00,44.44
151,0.0090,100.00,100.00,81.13,96.60,1.20,63.76,0.00,45.50
156,0.0007,100.00,100.00,87.33,97.73,4.10,74.35,0.00,47.52
161,0.0009,100.00,100.00,86.93,97.66,3.70,71.42,0.03,46.14
166,0.0008,100.00,100.00,79.23,96.26,1.13,67.17,0.00,45.83
171,0.0009,100.00,100.00,83.57,97.03,2.73,69.97,0.00,46.10
176,0.0005,100.00,100.00,87.47,97.75,3.67,71.94,0.00,47.84
181,0.0005,100.00,100.00,92.53,98.67,5.40,72.58,0.00,46.23
186,0.0006,100.00,100.00,88.53,97.94,1.00,64.57,0.00,44.41
191,0.0007,100.00,100.00,94.53,99.03,2.90,67.29,0.00,44.63
196,0.0006,100.00,100.00,33.93,87.46,0.20,60.96,0.00,43.59
201,0.0005,100.00,100.00,54.00,91.37,0.30,60.02,0.00,42.63
206,0.0009,100.00,100.00,87.93,97.85,3.23,74.14,0.00,45.95
211,0.0009,100.00,100.00,85.77,97.46,1.87,67.44,0.00,44.77
216,0.0004,100.00,100.00,83.13,96.96,1.27,66.44,0.00,44.05
221,0.0004,100.00,100.00,85.50,97.37,2.40,72.20,0.00,46.24
226,0.0008,100.00,100.00,84.07,97.15,1.17,66.70,0.00,45.59
231,0.0007,100.00,100.00,28.40,85.34,0.07,52.45,0.00,39.94
236,0.0005,100.00,100.00,94.93,99.09,8.07,76.37,0.03,47.50
241,0.0005,100.00,100.00,70.50,94.55,1.20,67.21,0.03,44.74
246,0.0005,100.00,100.00,94.80,99.07,10.53,78.39,0.00,47.66
251,0.0004,100.00,100.00,74.97,95.39,0.47,59.23,0.00,43.07
256,0.0003,100.00,100.00,93.93,98.92,5.37,72.11,0.00,43.99
261,0.0003,100.00,100.00,57.23,92.08,0.27,61.71,0.00,43.16
266,0.0004,100.00,100.00,92.30,98.63,2.53,70.05,0.00,44.04
271,0.0004,100.00,100.00,79.47,96.33,1.77,70.36,0.03,47.57
276,0.0004,100.00,100.00,66.10,93.85,0.90,65.41,0.00,43.95
281,0.0007,100.00,100.00,84.53,97.20,1.83,68.08,0.03,43.63
286,0.0003,100.00,100.00,90.33,98.28,2.77,67.92,0.00,42.68
291,0.0003,100.00,100.00,89.80,98.18,2.07,65.26,0.00,42.26
296,0.0004,100.00,100.00,88.83,97.96,3.67,69.08,0.00,43.52
300,0.0007,100.00,100.00,84.30,97.19,2.33,71.22,0.00,44.10
