seed,eval_set,model,pos_from_LSB,accuracy
0,id,A,0,100.00
0,id,A,1,100.00
0,id,A,2,100.00
0,id,A,3,100.00
0,id,A,4,100.00
0,id,A,5,nan
0,id,A,6,nan
0,id,A,7,nan
0,id,A,8,nan
0,id,A,9,nan
0,id,A,10,nan
0,id,A,11,nan
0,5dig,A,0,100.00
0,5dig,A,1,89.50
0,5dig,A,2,98.67
0,5dig,A,3,99.93
0,5dig,A,4,100.00
0,5dig,A,5,100.00
0,5dig,A,6,nan
0,5dig,A,7,nan
0,5dig,A,8,nan
0,5dig,A,9,nan
0,5dig,A,10,nan
0,5dig,A,11,nan
0,6dig,A,0,100.00
0,6dig,A,1,38.37
0,6dig,A,2,29.23
0,6dig,A,3,60.13
0,6dig,A,4,48.57
0,6dig,A,5,96.23
0,6dig,A,6,100.00
0,6dig,A,7,nan
0,6dig,A,8,nan
0,6dig,A,9,nan
0,6dig,A,10,nan
0,6dig,A,11,nan
0,7dig,A,0,100.00
0,7dig,A,1,21.17
0,7dig,A,2,15.90
0,7dig,A,3,14.20
0,7dig,A,4,14.30
0,7dig,A,5,14.77
0,7dig,A,6,82.90
0,7dig,A,7,100.00
0,7dig,A,8,nan
0,7dig,A,9,nan
0,7dig,A,10,nan
0,7dig,A,11,nan
1,id,A,0,100.00
1,id,A,1,100.00
1,id,A,2,100.00
1,id,A,3,100.00
1,id,A,4,100.00
1,id,A,5,nan
1,id,A,6,nan
1,id,A,7,nan
1,id,A,8,nan
1,id,A,9,nan
1,id,A,10,nan
1,id,A,11,nan
1,5dig,A,0,100.00
1,5dig,A,1,92.60
1,5dig,A,2,99.97
1,5dig,A,3,100.00
1,5dig,A,4,100.00
1,5dig,A,5,100.00
1,5dig,A,6,nan
1,5dig,A,7,nan
1,5dig,A,8,nan
1,5dig,A,9,nan
1,5dig,A,10,nan
1,5dig,A,11,nan
1,6dig,A,0,99.87
1,6dig,A,1,26.93
1,6dig,A,2,36.70
1,6dig,A,3,77.63
1,6dig,A,4,87.23
1,6dig,A,5,98.33
1,6dig,A,6,100.00
1,6dig,A,7,nan
1,6dig,A,8,nan
1,6dig,A,9,nan
1,6dig,A,10,nan
1,6dig,A,11,nan
1,7dig,A,0,94.87
1,7dig,A,1,20.47
1,7dig,A,2,14.77
1,7dig,A,3,12.80
1,7dig,A,4,15.37
1,7dig,A,5,31.70
1,7dig,A,6,88.87
1,7dig,A,7,100.00
1,7dig,A,8,nan
1,7dig,A,9,nan
1,7dig,A,10,nan
1,7dig,A,11,nan
2,id,A,0,100.00
2,id,A,1,100.00
2,id,A,2,100.00
2,id,A,3,100.00
2,id,A,4,100.00
2,id,A,5,nan
2,id,A,6,nan
2,id,A,7,nan
2,id,A,8,nan
2,id,A,9,nan
2,id,A,10,nan
2,id,A,11,nan
2,5dig,A,0,100.00
2,5dig,A,1,80.10
2,5dig,A,2,95.03
2,5dig,A,3,100.00
2,5dig,A,4,100.00
2,5dig,A,5,100.00
2,5dig,A,6,nan
2,5dig,A,7,nan
2,5dig,A,8,nan
2,5dig,A,9,nan
2,5dig,A,10,nan
2,5dig,A,11,nan
2,6dig,A,0,100.00
2,6dig,A,1,43.80
2,6dig,A,2,44.23
2,6dig,A,3,72.80
2,6dig,A,4,95.80
2,6dig,A,5,100.00
2,6dig,A,6,100.00
2,6dig,A,7,nan
