seed,eval_set,model,pos_from_LSB,accuracy
0,id,A,0,100.00
0,id,A,1,100.00
0,id,A,2,100.00
0,id,A,3,100.00
0,id,A,4,100.00
0,id,A,5,nan
0,id,A,6,nan
0,id,A,7,nan
0,id,A,8,nan
0,id,A,9,nan
0,id,A,10,nan
0,id,A,11,nan
0,5dig,A,0,99.97
0,5dig,A,1,94.47
0,5dig,A,2,99.97
0,5dig,A,3,100.00
0,5dig,A,4,100.00
0,5dig,A,5,100.00
0,5dig,A,6,nan
0,5dig,A,7,nan
0,5dig,A,8,nan
0,5dig,A,9,nan
0,5dig,A,10,nan
0,5dig,A,11,nan
0,6dig,A,0,51.27
0,6dig,A,1,79.83
0,6dig,A,2,36.97
0,6dig,A,3,76.33
0,6dig,A,4,75.40
0,6dig,A,5,100.00
0,6dig,A,6,100.00
0,6dig,A,7,nan
0,6dig,A,8,nan
0,6dig,A,9,nan
0,6dig,A,10,nan
0,6dig,A,11,nan
0,7dig,A,0,19.07
0,7dig,A,1,78.47
0,7dig,A,2,10.57
0,7dig,A,3,12.43
0,7dig,A,4,14.17
0,7dig,A,5,39.00
0,7dig,A,6,100.00
0,7dig,A,7,100.00
0,7dig,A,8,nan
0,7dig,A,9,nan
0,7dig,A,10,nan
0,7dig,A,11,nan
1,id,A,0,100.00
1,id,A,1,100.00
1,id,A,2,100.00
1,id,A,3,100.00
1,id,A,4,100.00
1,id,A,5,nan
1,id,A,6,nan
1,id,A,7,nan
1,id,A,8,nan
1,id,A,9,nan
1,id,A,10,nan
1,id,A,11,nan
1,5dig,A,0,100.00
1,5dig,A,1,90.13
1,5dig,A,2,99.67
1,5dig,A,3,100.00
1,5dig,A,4,100.00
1,5dig,A,5,100.00
1,5dig,A,6,nan
1,5dig,A,7,nan
1,5dig,A,8,nan
1,5dig,A,9,nan
1,5dig,A,10,nan
1,5dig,A,11,nan
1,6dig,A,0,99.73
1,6dig,A,1,24.63
1,6dig,A,2,28.77
1,6dig,A,3,67.83
1,6dig,A,4,55.93
1,6dig,A,5,98.53
1,6dig,A,6,100.00
1,6dig,A,7,nan
1,6dig,A,8,nan
1,6dig,A,9,nan
1,6dig,A,10,nan
1,6dig,A,11,nan
1,7dig,A,0,78.13
1,7dig,A,1,17.13
1,7dig,A,2,14.83
1,7dig,A,3,13.10
1,7dig,A,4,14.07
1,7dig,A,5,31.40
1,7dig,A,6,90.83
1,7dig,A,7,100.00
1,7dig,A,8,nan
1,7dig,A,9,nan
1,7dig,A,10,nan
1,7dig,A,11,nan
2,id,A,0,100.00
2,id,A,1,100.00
2,id,A,2,100.00
2,id,A,3,100.00
2,id,A,4,100.00
2,id,A,5,nan
2,id,A,6,nan
2,id,A,7,nan
2,id,A,8,nan
2,id,A,9,nan
2,id,A,10,nan
2,id,A,11,nan
2,5dig,A,0,100.00
2,5dig,A,1,84.03
2,5dig,A,2,99.43
2,5dig,A,3,100.00
2,5dig,A,4,100.00
2,5dig,A,5,100.00
2,5dig,A,6,nan
2,5dig,A,7,nan
2,5dig,A,8,nan
2,5dig,A,9,nan
2,5dig,A,10,nan
2,5dig,A,11,nan
2,6dig,A,0,96.30
2,6dig,A,1,17.20
2,6dig,A,2,18.23
2,6dig,A,3,57.23
2,6dig,A,4,48.03
2,6dig,A,5,90.30
2,6dig,A,6,100.00
2,6dig,A,7,nan
