seed,eval_set,model,pos_from_LSB,accuracy
0,id,A,0,100.00
0,id,A,1,100.00
0,id,A,2,100.00
0,id,A,3,100.00
0,id,A,4,100.00
0,id,A,5,nan
0,id,A,6,nan
0,id,A,7,nan
0,id,A,8,nan
0,id,A,9,nan
0,id,A,10,nan
0,id,A,11,nan
0,5dig,A,0,100.00
0,5dig,A,1,93.27
0,5dig,A,2,100.00
0,5dig,A,3,100.00
0,5dig,A,4,100.00
0,5dig,A,5,100.00
0,5dig,A,6,nan
0,5dig,A,7,nan
0,5dig,A,8,nan
0,5dig,A,9,nan
0,5dig,A,10,nan
0,5dig,A,11,nan
0,6dig,A,0,99.43
0,6dig,A,1,12.63
0,6dig,A,2,32.97
0,6dig,A,3,80.97
0,6dig,A,4,68.53
0,6dig,A,5,96.50
0,6dig,A,6,100.00
0,6dig,A,7,nan
0,6dig,A,8,nan
0,6dig,A,9,nan
0,6dig,A,10,nan
0,6dig,A,11,nan
0,7dig,A,0,77.17
0,7dig,A,1,11.90
0,7dig,A,2,11.97
0,7dig,A,3,12.80
0,7dig,A,4,12.13
0,7dig,A,5,22.80
0,7dig,A,6,92.23
0,7dig,A,7,100.00
0,7dig,A,8,nan
0,7dig,A,9,nan
0,7dig,A,10,nan
0,7dig,A,11,nan
1,id,A,0,100.00
1,id,A,1,100.00
1,id,A,2,100.00
1,id,A,3,100.00
1,id,A,4,100.00
1,id,A,5,nan
1,id,A,6,nan
1,id,A,7,nan
1,id,A,8,nan
1,id,A,9,nan
1,id,A,10,nan
1,id,A,11,nan
1,5dig,A,0,100.00
1,5dig,A,1,70.60
1,5dig,A,2,97.03
1,5dig,A,3,98.80
1,5dig,A,4,99.93
1,5dig,A,5,100.00
1,5dig,A,6,nan
1,5dig,A,7,nan
1,5dig,A,8,nan
1,5dig,A,9,nan
1,5dig,A,10,nan
1,5dig,A,11,nan
1,6dig,A,0,100.00
1,6dig,A,1,12.83
1,6dig,A,2,16.17
1,6dig,A,3,18.37
1,6dig,A,4,21.23
1,6dig,A,5,83.67
1,6dig,A,6,100.00
1,6dig,A,7,nan
1,6dig,A,8,nan
1,6dig,A,9,nan
1,6dig,A,10,nan
1,6dig,A,11,nan
1,7dig,A,0,100.00
1,7dig,A,1,11.17
1,7dig,A,2,12.27
1,7dig,A,3,10.83
1,7dig,A,4,10.10
1,7dig,A,5,13.63
1,7dig,A,6,76.13
1,7dig,A,7,100.00
1,7dig,A,8,nan
1,7dig,A,9,nan
1,7dig,A,10,nan
1,7dig,A,11,nan
2,id,A,0,100.00
2,id,A,1,100.00
2,id,A,2,100.00
2,id,A,3,100.00
2,id,A,4,100.00
2,id,A,5,nan
2,id,A,6,nan
2,id,A,7,nan
2,id,A,8,nan
2,id,A,9,nan
2,id,A,10,nan
2,id,A,11,nan
2,5dig,A,0,100.00
2,5dig,A,1,91.13
2,5dig,A,2,99.80
2,5dig,A,3,100.00
2,5dig,A,4,100.00
2,5dig,A,5,100.00
2,5dig,A,6,nan
2,5dig,A,7,nan
2,5dig,A,8,nan
2,5dig,A,9,nan
2,5dig,A,10,nan
2,5dig,A,11,nan
2,6dig,A,0,100.00
2,6dig,A,1,67.47
2,6dig,A,2,28.47
2,6dig,A,3,76.97
2,6dig,A,4,71.53
2,6dig,A,5,98.90
2,6dig,A,6,100.00
2,6dig,A,7,nan
