seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
0,transformer.layers.0.self_attn.in_proj_weight,0.2836,0.0013,-0.0003,1.9209
0,transformer.layers.0.self_attn.in_proj_bias,0.3381,0.0360,0.0655,2.4258
0,transformer.layers.0.self_attn.out_proj.weight,0.2458,0.0013,0.0006,2.2351
0,transformer.layers.0.self_attn.out_proj.bias,0.2181,0.1142,0.0891,1.5744
0,transformer.layers.0.linear1.weight,0.5905,-0.0129,-0.0096,0.8170
0,transformer.layers.0.linear1.bias,0.7606,0.5029,0.3040,0.7101
0,transformer.layers.0.linear2.weight,0.2198,0.0015,-0.0032,1.9035
0,transformer.layers.0.linear2.bias,0.2051,0.0269,0.0907,2.2647
0,transformer.layers.0.norm1.weight,0.9325,0.9381,0.9480,0.7271
0,transformer.layers.0.norm1.bias,0.8620,0.0370,-0.0232,0.5277
0,transformer.layers.0.norm2.weight,0.9598,0.9147,0.9060,0.4473
0,transformer.layers.0.norm2.bias,0.6549,-0.0394,-0.0607,0.8749
0,transformer.layers.1.self_attn.in_proj_weight,0.3383,0.0042,0.0005,1.4977
0,transformer.layers.1.self_attn.in_proj_bias,0.3324,0.0145,0.1022,2.1525
0,transformer.layers.1.self_attn.out_proj.weight,0.3492,0.0037,0.0021,1.6420
0,transformer.layers.1.self_attn.out_proj.bias,0.5904,-0.0616,0.0381,0.8314
0,transformer.layers.1.linear1.weight,0.5633,-0.0218,-0.0179,0.9159
0,transformer.layers.1.linear1.bias,0.7980,0.6413,0.5446,0.6236
0,transformer.layers.1.linear2.weight,0.2863,0.0007,-0.0049,1.5687
0,transformer.layers.1.linear2.bias,0.2374,-0.1188,0.0453,1.7062
0,transformer.layers.1.norm1.weight,0.9026,0.9032,0.8904,0.9397
0,transformer.layers.1.norm1.bias,0.8620,0.0904,0.1221,0.5610
0,transformer.layers.1.norm2.weight,0.9628,0.9150,0.9354,0.3162
0,transformer.layers.1.norm2.bias,0.9390,-0.1255,-0.1342,0.5254
0,transformer.layers.2.self_attn.in_proj_weight,0.3154,0.0023,-0.0001,1.5080
0,transformer.layers.2.self_attn.in_proj_bias,0.3968,0.0344,0.0108,1.4168
0,transformer.layers.2.self_attn.out_proj.weight,0.3510,0.0048,-0.0029,1.5892
0,transformer.layers.2.self_attn.out_proj.bias,0.4672,-0.0302,0.0467,0.9916
0,transformer.layers.2.linear1.weight,0.5365,-0.0200,-0.0107,0.9872
0,transformer.layers.2.linear1.bias,0.7400,0.6525,0.6390,0.6764
0,transformer.layers.2.linear2.weight,0.3056,-0.0011,0.0025,1.4751
0,transformer.layers.2.linear2.bias,0.2539,-0.0339,0.0416,1.7204
0,transformer.layers.2.norm1.weight,0.9414,0.9321,0.9610,0.5134
0,transformer.layers.2.norm1.bias,0.6806,-0.0250,0.0040,0.7334
0,transformer.layers.2.norm2.weight,0.9621,0.9329,0.9357,0.2728
0,transformer.layers.2.norm2.bias,0.9095,-0.1007,-0.1271,0.4389
0,transformer.layers.3.self_attn.in_proj_weight,0.3691,0.0049,0.0070,1.3087
0,transformer.layers.3.self_attn.in_proj_bias,0.4867,0.0349,-0.0288,0.9507
0,transformer.layers.3.self_attn.out_proj.weight,0.4030,0.0052,0.0041,1.3521
0,transformer.layers.3.self_attn.out_proj.bias,0.4276,-0.1608,-0.1226,0.9596
0,transformer.layers.3.linear1.weight,0.5464,-0.0086,-0.0047,0.9747
0,transformer.layers.3.linear1.bias,0.7619,0.6098,0.6542,0.6479
0,transformer.layers.3.linear2.weight,0.4018,0.0012,-0.0043,1.2156
0,transformer.layers.3.linear2.bias,0.3908,-0.0064,-0.0450,1.2708
0,transformer.layers.3.norm1.weight,0.9550,0.9379,0.9703,0.3996
0,transformer.layers.3.norm1.bias,0.6870,-0.0618,-0.0772,0.7348
0,transformer.layers.3.norm2.weight,0.9479,0.9130,0.9457,0.3256
0,transformer.layers.3.norm2.bias,0.9181,-0.0858,-0.0703,0.4572
0,transformer.layers.4.self_attn.in_proj_weight,0.4831,-0.0024,-0.0027,1.0038
0,transformer.layers.4.self_attn.in_proj_bias,0.4076,0.0032,-0.0128,1.0065
0,transformer.layers.4.self_attn.out_proj.weight,0.3580,0.0049,0.0044,1.4208
0,transformer.layers.4.self_attn.out_proj.bias,0.5419,-0.0892,-0.0347,0.8578
0,transformer.layers.4.linear1.weight,0.5280,-0.0067,-0.0085,1.0432
0,transformer.layers.4.linear1.bias,0.8265,0.7696,0.7414,0.5667
0,transformer.layers.4.linear2.weight,0.3850,0.0010,-0.0065,1.3048
0,transformer.layers.4.linear2.bias,0.3935,0.0074,-0.0455,1.8592
0,transformer.layers.4.norm1.weight,0.9738,0.9712,0.9801,0.2340
0,transformer.layers.4.norm1.bias,0.6226,0.0232,-0.0042,1.0089
0,transformer.layers.4.norm2.weight,0.9533,0.8940,0.9543,0.3027
0,transformer.layers.4.norm2.bias,0.9164,-0.0500,-0.0729,0.4090
0,transformer.layers.5.self_attn.in_proj_weight,0.4522,0.0024,0.0055,1.1046
0,transformer.layers.5.self_attn.in_proj_bias,0.0711,-0.0093,0.0184,2.4604
