seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
0,transformer.layers.0.self_attn.in_proj_weight,0.7100,0.0002,0.0007,0.7117
0,transformer.layers.0.self_attn.in_proj_bias,0.8926,0.0705,0.0493,0.6190
0,transformer.layers.0.self_attn.out_proj.weight,0.2407,-0.0012,-0.0040,2.4505
0,transformer.layers.0.self_attn.out_proj.bias,0.6254,-0.1202,-0.0784,0.7971
0,transformer.layers.0.linear1.weight,0.6792,0.0094,0.0083,0.7389
0,transformer.layers.0.linear1.bias,0.8148,0.4334,0.2829,0.7013
0,transformer.layers.0.linear2.weight,0.2315,-0.0019,-0.0004,1.7605
0,transformer.layers.0.linear2.bias,0.2177,-0.1648,0.0007,2.1746
0,transformer.layers.0.norm1.weight,0.8324,0.8825,0.8551,1.3116
0,transformer.layers.0.norm1.bias,0.9136,-0.0382,-0.0476,0.4075
0,transformer.layers.0.norm2.weight,0.9737,0.9077,0.9072,0.4768
0,transformer.layers.0.norm2.bias,0.4124,-0.0352,-0.0044,0.9341
0,transformer.layers.1.self_attn.in_proj_weight,0.3661,0.0010,-0.0014,1.3536
0,transformer.layers.1.self_attn.in_proj_bias,0.5196,-0.0361,-0.0839,2.1199
0,transformer.layers.1.self_attn.out_proj.weight,0.3482,0.0032,0.0077,1.6233
0,transformer.layers.1.self_attn.out_proj.bias,0.7025,-0.0690,-0.0106,0.7179
0,transformer.layers.1.linear1.weight,0.6964,-0.0052,0.0025,0.7184
0,transformer.layers.1.linear1.bias,0.6955,0.6687,0.4516,0.7551
0,transformer.layers.1.linear2.weight,0.3894,0.0025,-0.0023,1.1796
0,transformer.layers.1.linear2.bias,0.1334,-0.0948,0.0366,2.6903
0,transformer.layers.1.norm1.weight,0.9229,0.9195,0.9559,0.8425
0,transformer.layers.1.norm1.bias,0.7957,-0.0190,-0.0216,0.6085
0,transformer.layers.1.norm2.weight,0.9791,0.9349,0.9276,0.4941
0,transformer.layers.1.norm2.bias,0.8570,-0.0838,-0.1283,0.7748
0,transformer.layers.2.self_attn.in_proj_weight,0.4206,-0.0004,0.0016,1.1498
0,transformer.layers.2.self_attn.in_proj_bias,0.5376,-0.0145,0.1016,1.2189
0,transformer.layers.2.self_attn.out_proj.weight,0.4136,-0.0044,-0.0048,1.3480
0,transformer.layers.2.self_attn.out_proj.bias,0.5992,-0.1383,-0.0650,0.8049
0,transformer.layers.2.linear1.weight,0.6556,-0.0071,-0.0041,0.7677
0,transformer.layers.2.linear1.bias,0.8359,0.7133,0.6408,0.5730
0,transformer.layers.2.linear2.weight,0.4458,-0.0007,0.0010,1.0754
0,transformer.layers.2.linear2.bias,0.1783,-0.0134,0.0525,2.8727
0,transformer.layers.2.norm1.weight,0.9680,0.9509,0.9747,0.2601
0,transformer.layers.2.norm1.bias,0.6520,0.0334,-0.0388,0.7799
0,transformer.layers.2.norm2.weight,0.9838,0.9706,0.9694,0.4094
0,transformer.layers.2.norm2.bias,0.9745,-0.0296,-0.0395,0.5786
0,transformer.layers.3.self_attn.in_proj_weight,0.5225,-0.0013,-0.0027,0.9412
0,transformer.layers.3.self_attn.in_proj_bias,0.5758,0.0454,-0.0117,0.8179
0,transformer.layers.3.self_attn.out_proj.weight,0.4619,0.0062,0.0029,1.1470
0,transformer.layers.3.self_attn.out_proj.bias,0.5464,-0.0442,-0.0714,0.9831
0,transformer.layers.3.linear1.weight,0.6335,0.0000,0.0042,0.8044
0,transformer.layers.3.linear1.bias,0.8604,0.7779,0.7474,0.5212
0,transformer.layers.3.linear2.weight,0.4840,-0.0001,0.0009,1.0113
0,transformer.layers.3.linear2.bias,0.1282,-0.0429,-0.0206,2.4376
0,transformer.layers.3.norm1.weight,0.9832,0.9638,0.9749,0.3225
0,transformer.layers.3.norm1.bias,0.6314,0.0672,0.0504,0.8508
0,transformer.layers.3.norm2.weight,0.9885,0.9754,0.9767,0.3748
0,transformer.layers.3.norm2.bias,0.9765,0.0154,0.0277,0.4609
0,transformer.layers.4.self_attn.in_proj_weight,0.5480,-0.0019,0.0016,0.8999
0,transformer.layers.4.self_attn.in_proj_bias,0.6302,0.0575,0.0341,0.7796
0,transformer.layers.4.self_attn.out_proj.weight,0.4827,-0.0007,0.0035,1.0862
0,transformer.layers.4.self_attn.out_proj.bias,0.5511,0.0174,-0.0303,0.8574
0,transformer.layers.4.linear1.weight,0.6049,0.0042,0.0084,0.8370
0,transformer.layers.4.linear1.bias,0.8825,0.8155,0.7708,0.5011
0,transformer.layers.4.linear2.weight,0.4730,0.0001,-0.0039,1.0312
0,transformer.layers.4.linear2.bias,0.1023,-0.0906,-0.0272,1.7512
0,transformer.layers.4.norm1.weight,0.9905,0.9816,0.9830,0.3376
0,transformer.layers.4.norm1.bias,0.4596,0.0324,0.0768,1.1111
0,transformer.layers.4.norm2.weight,0.9905,0.9773,0.9744,0.4126
0,transformer.layers.4.norm2.bias,0.9820,0.0620,0.0752,0.4598
0,transformer.layers.5.self_attn.in_proj_weight,0.5862,-0.0008,0.0001,0.8459
0,transformer.layers.5.self_attn.in_proj_bias,0.8402,-0.0121,-0.0183,0.6590
0,transformer.layers.5.self_attn.out_proj.weight,0.4442,0.0059,0.0012,1.1819
0,transformer.layers.5.self_attn.out_proj.bias,0.5220,0.0270,-0.0527,0.9040
0,transformer.layers.5.linear1.weight,0.4845,0.0015,0.0081,1.0368
0,transformer.layers.5.linear1.bias,0.7566,0.5288,0.4884,0.6670
0,transformer.layers.5.linear2.weight,0.4532,-0.0022,-0.0008,0.9856
0,transformer.layers.5.linear2.bias,0.6957,0.0264,0.0666,0.7286
0,transformer.layers.5.norm1.weight,0.9949,0.9929,0.9910,0.3719
0,transformer.layers.5.norm1.bias,0.6947,0.0045,0.0307,0.7546
0,transformer.layers.5.norm2.weight,0.9858,0.9752,0.9747,0.3016
0,transformer.layers.5.norm2.bias,0.9711,0.0624,0.0779,0.5365
0,final_norm.weight,0.8082,0.8362,0.7966,1.5960
0,final_norm.bias,0.6392,0.0386,-0.0530,0.7834
1,transformer.layers.0.self_attn.in_proj_weight,0.7155,0.0014,-0.0000,0.7081
1,transformer.layers.0.self_attn.in_proj_bias,0.8291,0.0279,0.0249,0.6921
1,transformer.layers.0.self_attn.out_proj.weight,0.2442,-0.0029,0.0014,2.4595
1,transformer.layers.0.self_attn.out_proj.bias,0.6702,0.0961,0.0626,0.7423
1,transformer.layers.0.linear1.weight,0.6566,-0.0037,-0.0033,0.7544
1,transformer.layers.0.linear1.bias,0.7668,0.3944,0.2101,0.6447
1,transformer.layers.0.linear2.weight,0.2599,-0.0030,-0.0043,1.6890
1,transformer.layers.0.linear2.bias,0.1665,-0.0510,0.0138,1.7168
1,transformer.layers.0.norm1.weight,0.8193,0.8838,0.8578,1.0273
1,transformer.layers.0.norm1.bias,0.9004,-0.0400,-0.0762,0.4362
1,transformer.layers.0.norm2.weight,0.9642,0.9095,0.8882,0.4780
1,transformer.layers.0.norm2.bias,0.7068,0.1106,0.1127,0.8232
1,transformer.layers.1.self_attn.in_proj_weight,0.3633,0.0008,-0.0011,1.3658
1,transformer.layers.1.self_attn.in_proj_bias,0.4398,-0.0575,0.0658,1.7572
1,transformer.layers.1.self_attn.out_proj.weight,0.3359,-0.0058,0.0030,1.7095
1,transformer.layers.1.self_attn.out_proj.bias,0.7454,0.1211,0.0771,0.6892
1,transformer.layers.1.linear1.weight,0.6841,0.0029,-0.0003,0.7298
1,transformer.layers.1.linear1.bias,0.7677,0.6442,0.5187,0.6952
1,transformer.layers.1.linear2.weight,0.3967,0.0023,0.0015,1.1549
1,transformer.layers.1.linear2.bias,0.1343,0.0207,-0.0325,2.6016
