seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
0,transformer.layers.0.self_attn.in_proj_weight,0.4024,-0.0036,0.0004,1.8275
0,transformer.layers.0.self_attn.in_proj_bias,0.1553,0.0022,-0.0042,1.9292
0,transformer.layers.0.self_attn.out_proj.weight,0.2724,-0.0013,0.0049,1.8436
0,transformer.layers.0.self_attn.out_proj.bias,0.3083,0.0919,0.0525,1.2358
0,transformer.layers.0.linear1.weight,0.4929,-0.0024,0.0055,0.9481
0,transformer.layers.0.linear1.bias,0.6811,0.4341,0.1590,0.7756
0,transformer.layers.0.linear2.weight,0.2876,-0.0017,-0.0065,1.4915
0,transformer.layers.0.linear2.bias,0.2335,-0.0028,0.0692,1.8439
0,transformer.layers.0.norm1.weight,0.5558,0.0714,-0.0419,2.3376
0,transformer.layers.0.norm1.bias,0.7909,0.0593,0.0838,0.6617
0,transformer.layers.0.norm2.weight,0.8431,0.2587,0.2073,0.5473
0,transformer.layers.0.norm2.bias,0.4456,-0.0204,0.0708,0.9004
0,transformer.layers.1.self_attn.in_proj_weight,0.3261,0.0015,-0.0008,1.5108
0,transformer.layers.1.self_attn.in_proj_bias,0.3690,-0.0094,0.0552,2.3528
0,transformer.layers.1.self_attn.out_proj.weight,0.3002,-0.0035,-0.0026,2.0832
0,transformer.layers.1.self_attn.out_proj.bias,0.1991,-0.0340,0.0636,1.7085
0,transformer.layers.1.linear1.weight,0.3860,0.0024,0.0036,1.2824
0,transformer.layers.1.linear1.bias,0.3737,0.3626,-0.1079,1.0271
0,transformer.layers.1.linear2.weight,0.2958,0.0003,0.0017,1.4790
0,transformer.layers.1.linear2.bias,0.1651,-0.0472,0.1115,1.8769
0,transformer.layers.1.norm1.weight,0.8287,0.0736,0.0543,1.6803
0,transformer.layers.1.norm1.bias,0.3860,-0.0431,0.0402,1.1011
0,transformer.layers.1.norm2.weight,0.7281,0.1551,0.0832,1.0430
