seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,1,2.2649,1.441,id,0.0,0.1,11.7,20.6
0,1,2.2649,1.441,5dig,0.0,0.0,10.9,20.5
0,1,2.2649,1.441,6dig,0.0,0.0,9.3,18.7
0,1,2.2649,1.441,7dig,0.0,0.0,7.9,17.5
0,6,0.6754,0.3198,id,0.2,39.4,39.2,83.7
0,6,0.6754,0.3198,5dig,0.0,9.3,35.3,72.9
0,6,0.6754,0.3198,6dig,0.0,1.9,31.0,63.7
0,6,0.6754,0.3198,7dig,0.0,0.1,27.8,56.6
0,11,0.1549,0.0715,id,94.7,97.7,98.8,99.5
0,11,0.1549,0.0715,5dig,19.9,34.3,81.1,86.1
0,11,0.1549,0.0715,6dig,0.0,0.0,53.5,57.2
0,11,0.1549,0.0715,7dig,0.0,0.0,46.0,47.8
0,16,0.0679,0.037,id,98.5,99.7,99.7,99.9
0,16,0.0679,0.037,5dig,32.2,28.6,85.1,83.8
0,16,0.0679,0.037,6dig,0.0,0.0,49.7,50.4
0,16,0.0679,0.037,7dig,0.0,0.0,43.0,43.5
0,21,0.0391,0.0173,id,98.8,99.5,99.7,99.9
0,21,0.0391,0.0173,5dig,11.2,69.1,74.7,94.3
0,21,0.0391,0.0173,6dig,0.0,0.1,46.7,56.7
0,21,0.0391,0.0173,7dig,0.0,0.0,41.4,45.2
0,26,0.0263,0.0116,id,99.8,99.8,100.0,100.0
0,26,0.0263,0.0116,5dig,60.2,54.6,92.4,91.0
0,26,0.0263,0.0116,6dig,0.0,0.0,50.1,51.9
0,26,0.0263,0.0116,7dig,0.0,0.0,43.9,43.8
0,31,0.0181,0.0086,id,99.9,100.0,100.0,100.0
0,31,0.0181,0.0086,5dig,51.4,62.3,90.1,93.0
0,31,0.0181,0.0086,6dig,0.0,0.1,49.3,53.4
0,31,0.0181,0.0086,7dig,0.0,0.0,42.5,44.2
0,36,0.0122,0.0064,id,99.8,100.0,100.0,100.0
