seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,1,2.5868,1.441,id,0.0,0.1,0.0,20.6
0,1,2.5868,1.441,5dig,0.0,0.0,0.0,20.5
0,1,2.5868,1.441,6dig,0.0,0.0,0.0,18.7
0,6,0.8161,0.3198,id,0.1,39.4,23.4,83.7
0,6,0.8161,0.3198,5dig,0.0,9.3,21.7,72.9
0,6,0.8161,0.3198,6dig,0.0,1.9,18.8,63.7
0,11,0.7131,0.0715,id,0.3,97.7,36.8,99.5
0,11,0.7131,0.0715,5dig,0.0,34.3,33.7,86.1
0,11,0.7131,0.0715,6dig,0.0,0.0,30.2,57.2
0,16,0.5038,0.037,id,5.3,99.7,61.2,99.9
0,16,0.5038,0.037,5dig,0.8,28.6,53.3,83.8
0,16,0.5038,0.037,6dig,0.0,0.0,46.3,50.4
0,21,0.2627,0.0173,id,34.8,99.5,82.3,99.9
0,21,0.2627,0.0173,5dig,5.5,69.1,69.0,94.3
0,21,0.2627,0.0173,6dig,0.5,0.1,56.8,56.7
0,26,0.1379,0.0116,id,94.0,99.8,98.7,100.0
0,26,0.1379,0.0116,5dig,34.6,54.6,85.7,91.0
0,26,0.1379,0.0116,6dig,1.7,0.0,67.3,51.9
0,31,0.0863,0.0086,id,98.7,100.0,99.7,100.0
0,31,0.0863,0.0086,5dig,50.3,62.3,90.0,93.0
0,31,0.0863,0.0086,6dig,0.9,0.1,65.8,53.4
0,36,0.0564,0.0064,id,99.6,100.0,99.9,100.0
0,36,0.0564,0.0064,5dig,53.3,79.1,90.8,96.3
0,36,0.0564,0.0064,6dig,0.7,0.7,63.6,60.6
0,41,0.0403,0.0059,id,99.8,99.9,100.0,100.0
0,41,0.0403,0.0059,5dig,70.0,77.3,94.4,95.9
0,41,0.0403,0.0059,6dig,1.8,0.4,67.8,57.2
0,46,0.0322,0.0043,id,99.7,100.0,99.9,100.0
0,46,0.0322,0.0043,5dig,54.7,59.5,91.1,92.3
0,46,0.0322,0.0043,6dig,0.3,0.0,61.8,52.6
0,51,0.0267,0.0041,id,100.0,100.0,100.0,100.0
0,51,0.0267,0.0041,5dig,67.7,78.6,93.9,96.2
0,51,0.0267,0.0041,6dig,0.5,0.2,63.0,57.1
0,56,0.0204,0.0043,id,100.0,100.0,100.0,100.0
0,56,0.0204,0.0043,5dig,74.9,73.3,95.4,95.1
0,56,0.0204,0.0043,6dig,1.5,0.1,66.1,54.7
0,61,0.0169,0.0029,id,100.0,99.9,100.0,100.0
0,61,0.0169,0.0029,5dig,80.6,81.1,96.5,96.6
0,61,0.0169,0.0029,6dig,3.7,0.4,71.2,58.2
0,66,0.0144,0.0036,id,100.0,100.0,100.0,100.0
0,66,0.0144,0.0036,5dig,82.7,68.6,96.9,94.1
0,66,0.0144,0.0036,6dig,3.8,0.1,70.5,52.5
0,71,0.0122,0.0023,id,100.0,100.0,100.0,100.0
0,71,0.0122,0.0023,5dig,85.5,83.9,97.3,97.1
0,71,0.0122,0.0023,6dig,4.9,0.5,71.8,56.1
0,76,0.0101,0.0015,id,100.0,100.0,100.0,100.0
0,76,0.0101,0.0015,5dig,75.9,85.4,95.6,97.4
0,76,0.0101,0.0015,6dig,1.6,0.4,66.6,56.9
0,81,0.0089,0.0019,id,100.0,100.0,100.0,100.0
0,81,0.0089,0.0019,5dig,81.9,63.1,96.7,93.0
0,81,0.0089,0.0019,6dig,2.4,0.0,69.1,51.3
0,86,0.0078,0.0021,id,100.0,100.0,100.0,100.0
0,86,0.0078,0.0021,5dig,88.7,69.5,98.0,94.1
0,86,0.0078,0.0021,6dig,8.4,0.1,75.9,53.6
0,91,0.007,0.0019,id,100.0,99.9,100.0,100.0
0,91,0.007,0.0019,5dig,80.0,56.3,96.4,91.4
0,91,0.007,0.0019,6dig,1.2,0.0,64.9,50.3
0,96,0.0063,0.0022,id,100.0,100.0,100.0,100.0
0,96,0.0063,0.0022,5dig,76.4,89.5,95.7,98.1
0,96,0.0063,0.0022,6dig,1.3,0.5,66.4,58.1
0,101,0.0056,0.0018,id,100.0,100.0,100.0,100.0
0,101,0.0056,0.0018,5dig,80.5,73.7,96.5,95.2
0,101,0.0056,0.0018,6dig,2.3,0.0,67.4,51.2
0,106,0.0054,0.0015,id,100.0,100.0,100.0,100.0
0,106,0.0054,0.0015,5dig,87.9,71.0,97.8,94.6
0,106,0.0054,0.0015,6dig,4.7,0.0,73.0,50.4
0,111,0.0044,0.0014,id,100.0,100.0,100.0,100.0
0,111,0.0044,0.0014,5dig,80.4,80.6,96.5,96.5
0,111,0.0044,0.0014,6dig,1.1,0.0,65.3,51.6
0,116,0.004,0.0015,id,100.0,100.0,100.0,100.0
0,116,0.004,0.0015,5dig,93.2,96.3,98.8,99.3
0,116,0.004,0.0015,6dig,8.0,4.9,74.4,69.0
0,121,0.0044,0.0013,id,100.0,100.0,100.0,100.0
0,121,0.0044,0.0013,5dig,87.7,77.3,97.8,95.8
0,121,0.0044,0.0013,6dig,5.3,0.2,73.4,53.2
0,126,0.0062,0.0015,id,100.0,100.0,100.0,100.0
0,126,0.0062,0.0015,5dig,95.8,88.5,99.2,97.9
0,126,0.0062,0.0015,6dig,8.9,0.3,76.3,57.7
0,131,0.0034,0.0018,id,100.0,100.0,100.0,100.0
