param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
transformer.layers.0.self_attn.in_proj_weight,0.6539,-0.0030,-0.0028,0.7576
transformer.layers.0.self_attn.in_proj_bias,0.8478,0.0061,0.0156,0.6811
transformer.layers.0.self_attn.out_proj.weight,0.2220,-0.0019,-0.0008,2.5935
transformer.layers.0.self_attn.out_proj.bias,0.5016,-0.0524,-0.0126,0.8848
transformer.layers.0.linear1.weight,0.6612,-0.0070,-0.0051,0.7519
transformer.layers.0.linear1.bias,0.7515,0.4534,0.3050,0.7292
transformer.layers.0.linear2.weight,0.2423,0.0046,0.0042,1.7903
transformer.layers.0.linear2.bias,0.1377,-0.0899,0.0142,2.0453
transformer.layers.0.norm1.weight,0.8319,0.8842,0.8912,1.2339
transformer.layers.0.norm1.bias,0.8435,0.1211,0.1528,0.5415
transformer.layers.0.norm2.weight,0.9378,0.9045,0.8486,0.5408
transformer.layers.0.norm2.bias,0.1904,-0.0335,0.0514,0.9819
transformer.layers.1.self_attn.in_proj_weight,0.3349,-0.0013,-0.0001,1.4645
transformer.layers.1.self_attn.in_proj_bias,0.2674,0.0621,0.0041,2.1872
transformer.layers.1.self_attn.out_proj.weight,0.3435,0.0064,0.0028,1.7094
transformer.layers.1.self_attn.out_proj.bias,0.7792,-0.1460,-0.1105,0.6524
transformer.layers.1.linear1.weight,0.6498,-0.0162,-0.0133,0.7717
transformer.layers.1.linear1.bias,0.7843,0.6754,0.5521,0.6523
transformer.layers.1.linear2.weight,0.3561,0.0027,0.0012,1.3174
transformer.layers.1.linear2.bias,0.1488,-0.0824,0.0371,2.7374
transformer.layers.1.norm1.weight,0.9249,0.9207,0.9576,0.8029
transformer.layers.1.norm1.bias,0.7375,-0.0486,-0.0074,0.6999
transformer.layers.1.norm2.weight,0.9711,0.9380,0.9360,0.4246
transformer.layers.1.norm2.bias,0.9606,-0.0503,-0.0426,0.5962
transformer.layers.2.self_attn.in_proj_weight,0.4058,0.0024,0.0002,1.1931
transformer.layers.2.self_attn.in_proj_bias,0.5022,0.0158,0.0171,0.9745
transformer.layers.2.self_attn.out_proj.weight,0.3908,0.0033,0.0027,1.4815
transformer.layers.2.self_attn.out_proj.bias,0.6878,-0.0461,-0.0443,0.7269
transformer.layers.2.linear1.weight,0.6231,0.0011,0.0066,0.8217
transformer.layers.2.linear1.bias,0.8413,0.7340,0.7079,0.5504
transformer.layers.2.linear2.weight,0.4143,0.0008,0.0027,1.1536
transformer.layers.2.linear2.bias,0.0483,-0.1287,0.0396,2.5730
transformer.layers.2.norm1.weight,0.9622,0.9544,0.9784,0.2780
transformer.layers.2.norm1.bias,0.6516,0.0528,0.0656,0.7826
transformer.layers.2.norm2.weight,0.9841,0.9733,0.9741,0.4080
transformer.layers.2.norm2.bias,0.9694,-0.0181,0.0027,0.4713
transformer.layers.3.self_attn.in_proj_weight,0.4813,-0.0019,-0.0022,1.0074
transformer.layers.3.self_attn.in_proj_bias,0.6716,0.0212,-0.0357,0.7469
transformer.layers.3.self_attn.out_proj.weight,0.4589,-0.0025,0.0008,1.1750
transformer.layers.3.self_attn.out_proj.bias,0.4612,-0.0591,0.0087,1.1471
transformer.layers.3.linear1.weight,0.6032,0.0075,0.0089,0.8568
transformer.layers.3.linear1.bias,0.8762,0.8084,0.7737,0.4821
transformer.layers.3.linear2.weight,0.4212,0.0010,-0.0002,1.1506
transformer.layers.3.linear2.bias,0.1201,0.0021,0.0585,2.5335
transformer.layers.3.norm1.weight,0.9799,0.9668,0.9794,0.3144
transformer.layers.3.norm1.bias,0.3007,0.0137,-0.0046,1.2253
transformer.layers.3.norm2.weight,0.9876,0.9774,0.9760,0.3866
transformer.layers.3.norm2.bias,0.9697,0.0465,0.0636,0.4017
transformer.layers.4.self_attn.in_proj_weight,0.5000,0.0002,0.0012,0.9903
transformer.layers.4.self_attn.in_proj_bias,0.5825,-0.0606,0.0310,0.8248
transformer.layers.4.self_attn.out_proj.weight,0.4439,0.0093,0.0028,1.2525
transformer.layers.4.self_attn.out_proj.bias,0.4553,-0.0219,0.0356,0.9476
